Date Changed,Rate,LastDateOfEachMonth,,Date,Monthly_rate,Gross Return,Net Return,Days_in_month
08 May 25,4.25,,,2025-05-31,1.00358734627661,,,31
06 Feb 25,4.5,,,2025-04-30,1.00362437843107,1.00003689978217,3.68997821669215E-05,30
07 Nov 24,4.75,,,2025-03-31,1.00374541701486,1.0001206014784,0.000120601478394988,31
01 Aug 24,5,,,2025-02-28,1.00342175792364,0.999677548623648,-0.000322451376352007,28
03 Aug 23,5.25,,,2025-01-31,1.00394914055682,1.00052558421124,0.000525584211237273,31
22 Jun 23,5,,,2024-12-31,1.00394914055682,1,0,31
11 May 23,4.5,,,2024-11-30,1.00386084195672,0.999912048731823,-8.79512681767336E-05,30
23 Mar 23,4.25,,,2024-10-31,1.0041524196648,1.0002904563022,0.000290456302199926,31
02 Feb 23,4,,,2024-09-30,1.00401820189198,0.999866337251005,-0.000133662748994734,30
15 Dec 22,3.5,,,2024-08-31,1.0041524196648,1.00013368061711,0.000133680617113496,31
03 Nov 22,3,,,2024-07-31,1.00435525636308,1.00020199791816,0.000201997918158447,31
22 Sep 22,2.25,,,2024-06-30,1.00421446859442,0.999859822739245,-0.00014017726075477,30
04 Aug 22,1.75,,,2024-05-31,1.00435525636308,1.00014019691317,0.000140196913174018,31
16 Jun 22,1.25,,,2024-04-30,1.00421446859442,0.999859822739245,-0.00014017726075477,30
05 May 22,1,,,2024-03-31,1.00435525636308,1.00014019691317,0.000140196913174018,31
17 Mar 22,0.75,,,2024-02-29,1.004073700561,0.999719665128155,-0.000280334871845089,29
03 Feb 22,0.5,,,2024-01-31,1.00435525636308,1.00028041348152,0.000280413481522412,31
16 Dec 21,0.25,,,2023-12-31,1.00435525636308,1,0,31
19 Mar 20,0.1,,,2023-11-30,1.00421446859442,0.999859822739245,-0.00014017726075477,30
11 Mar 20,0.25,,,2023-10-31,1.00435525636308,1.00014019691317,0.000140196913174018,31
02 Aug 18,0.75,,,2023-09-30,1.00421446859442,0.999859822739245,-0.00014017726075477,30
02 Nov 17,0.5,,,2023-08-31,1.00434216888815,1.00012716436351,0.000127164363509014,31
04 Aug 16,0.25,,,2023-07-31,1.0041524196648,0.999811071137678,-0.000188928862321802,31
05 Mar 09,0.5,,,2023-06-30,1.00374250924658,0.999591784663178,-0.000408215336821893,30
,,,,2023-05-31,1.00355852054057,0.99981669730601,-0.000183302693989917,31
,,,,2023-04-30,1.00342681772407,0.999868764188833,-0.000131235811167363,30
,,,,2023-03-31,1.00339602954516,0.999969316966255,-3.06830337455377E-05,31
,,,,2023-02-28,1.00299999973683,0.999605310568639,-0.000394689431361339,28
,,,,2023-01-31,1.00292603752434,0.999926259010456,-7.37409895438246E-05,31
,,,,2022-12-31,1.00273976682843,0.999814272749001,-0.000185727250999523,31
,,,,2022-11-30,1.00239230270084,0.999653485242047,-0.000346514757952887,30
,,,,2022-10-31,1.00189156450046,0.999500456858029,-0.000499543141971537,31
,,,,2022-09-30,1.00154798287798,0.999657067057307,-0.000342932942693053,30
,,,,2022-08-31,1.00143398452564,0.999886177842411,-0.000113822157589483,31
,,,,2022-07-31,1.00105562011747,0.999622177383606,-0.00037782261639363,31
,,,,2022-06-30,1.00091985503416,0.999864378081924,-0.000135621918076034,30
,,,,2022-05-31,1.00152977598203,1.00060936042462,0.000609360424615346,31
,,,,2022-04-30,1.00596186556443,1.0044253198344,0.00442531983439864,30
,,,,2022-03-31,1.00319580968534,0.997250337240633,-0.00274966275936694,31
,,,,2022-02-28,1.00036902653843,0.997182221935522,-0.00281777806447792,28
,,,,2022-01-31,1.00021208628481,0.999843117640125,-0.00015688235987521,31
,,,,2021-12-31,1.00015053896869,0.999938465734454,-6.15342655458928E-05,31
,,,,2021-11-30,1.00008215408677,0.999931625411125,-6.83745888748755E-05,30
